Wed Aug 26 14:44:09 2020    profile/one_dim.out

         4791189 function calls (4776247 primitive calls) in 5.154 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.005    0.001 /home/mary/mypydmrg/dmrghelpers/hamhelper.py:31(update_leftblockextend_hamiltonian)
      189    0.000    0.000    0.005    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:264(<listcomp>)
    97/30    0.000    0.000    0.005    0.000 /usr/lib/python3.8/sre_parse.py:435(_parse_sub)
      245    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:969(get_data)
    38333    0.005    0.000    0.005    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/data.py:23(_get_dtype)
        1    0.000    0.000    0.005    0.005 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/linalg/isolve/iterative.py:1(<module>)
   114/32    0.002    0.000    0.005    0.000 /usr/lib/python3.8/sre_parse.py:493(_parse)
      132    0.005    0.000    0.005    0.000 {built-in method scipy.sparse._sparsetools.csr_plus_csr}
        6    0.000    0.000    0.005    0.001 /home/mary/mypydmrg/fermionic/baseop.py:60(get_block)
      136    0.003    0.000    0.005    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:1337(eigh)
      411    0.001    0.000    0.005    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:1055(__get_has_canonical_format)
